review_id,target_run_id,scenario_id,target_model,evaluator_model,validation_status,verdict,root_cause_category,patch_quality,debug_discipline,severity,confidence,source_id,created_at
0f46f1920ea6ba75f5ad013039889fbd9f2cc8f896837b151d59b0cb165a5b1f,20260622T211021Z-decimal_money_rounding-e4fec0a8,decimal_money_rounding,openrouter/poolside/laguna-xs.2:free,deepseek/deepseek-v4-pro,valid,public_green_hidden_red,missed_hidden_contract,3,2,medium,1.0,b_laguna_ci_sparse,2026-06-22T22:14:38+00:00
26422ebb6b41c212c23f4183600f22922ad311b4214cd9fc210a279ca17d7bf6,20260622T210017Z-decimal_money_rounding-89f37a11,decimal_money_rounding,openrouter/poolside/laguna-xs.2:free,deepseek/deepseek-v4-pro,valid,public_green_hidden_red,edge_case_gap,3,3,medium,0.95,b_laguna_ci_sparse,2026-06-22T22:10:00+00:00
2b7ce827f6c04c70832a61cde72e38b0c7be6eb14f3727fac955354f8384bbc2,20260622T212021Z-decimal_money_rounding-2840dd27,decimal_money_rounding,openrouter/poolside/laguna-xs.2:free,deepseek/deepseek-v4-pro,valid,public_green_hidden_red,missed_hidden_contract,3,2,medium,0.95,b_laguna_ci_sparse,2026-06-22T22:18:11+00:00
37e07ec24852e6e02d1e623ac05d81016969dfd9c453d19fe9ec2a60493da07c,20260622T210108Z-dependency_api_change-50aeabfd,dependency_api_change,openrouter/poolside/laguna-xs.2:free,deepseek/deepseek-v4-pro,valid,public_green_hidden_red,incomplete_domain_policy,3,2,medium,0.95,b_laguna_ci_sparse,2026-06-22T22:10:55+00:00
500c1bf1f8eaa3ff0387e7cf74e7d15121b245b9f8cad55d2e931c4e013f4949,20260622T211151Z-env_bool_parser-e4385432,env_bool_parser,openrouter/poolside/laguna-xs.2:free,deepseek/deepseek-v4-pro,valid,public_green_hidden_red,edge_case_gap,3,2,medium,0.95,b_laguna_ci_sparse,2026-06-22T22:15:56+00:00
84f8658b8971a871b39db4d1fab8230f0123add17244f7944ae7044b66b655dd,20260622T205806Z-csv_header_contract-04cd71a9,csv_header_contract,openrouter/poolside/laguna-xs.2:free,deepseek/deepseek-v4-pro,valid,public_green_hidden_red,missed_hidden_contract,3,3,medium,0.95,b_laguna_ci_sparse,2026-06-22T22:08:50+00:00
9b43be7c4ef59efe484f883564ce7d4e6540eaa5f9d499fa8c6942b089373c3c,20260622T210942Z-csv_header_contract-202e0b19,csv_header_contract,openrouter/poolside/laguna-xs.2:free,deepseek/deepseek-v4-pro,valid,public_green_hidden_red,incomplete_domain_policy,2,2,medium,0.95,b_laguna_ci_sparse,2026-06-22T22:13:30+00:00
b73824cc2a7091fd07dda9ddd89952ec0c4cfd9853343400f0e1fe5d7b07d9db,20260622T211930Z-csv_header_contract-fc8bc6fe,csv_header_contract,openrouter/poolside/laguna-xs.2:free,deepseek/deepseek-v4-pro,valid,public_green_hidden_red,edge_case_gap,3,2,medium,0.95,b_laguna_ci_sparse,2026-06-22T22:17:05+00:00
bba34fa24b00e53f6e92e7bf03f2bee88fd98a2480ae95240d2d47b0cb0a58b7,20260622T212405Z-env_bool_parser-fc658d81,env_bool_parser,openrouter/poolside/laguna-xs.2:free,deepseek/deepseek-v4-pro,valid,public_green_hidden_red,edge_case_gap,3,2,medium,0.95,b_laguna_ci_sparse,2026-06-22T22:19:17+00:00
de1ccd793cc6d3224dde64122ad1db037308238f4cff77c4f5f0f8a60485c0af,20260622T210146Z-env_bool_parser-54839016,env_bool_parser,openrouter/poolside/laguna-xs.2:free,deepseek/deepseek-v4-pro,valid,public_green_hidden_red,incomplete_domain_policy,2,2,medium,0.95,b_laguna_ci_sparse,2026-06-22T22:12:18+00:00
